date,trips
2015-01-01,1588743
2015-02-01,1853632
2015-03-01,1957498
2015-04-01,2022961
2015-05-01,2398261
2015-06-01,2530057
2015-07-01,2854222
2015-08-01,3071766
2015-09-01,3442508
2015-10-01,4060207
2015-11-01,3918893
2015-12-01,4274470
2016-01-01,4234514
2016-02-01,4758694
2016-03-01,4883006
2016-04-01,5037483
2016-05-01,5324947
2016-06-01,5297530
2016-07-01,5846476
2016-08-01,5840218
2016-09-01,6430473
2016-10-01,6959226
2016-11-01,6929779
2016-12-01,7833688
